#Phase Diagram datafile

#kT     n_homogeneous   n_crystal   P           #P(orignal est)
0.2     0.80            0.83        7.5673     #2.38
0.3     0.83            0.87        9.9764     #3.84
0.4     0.87            0.90        12.1001    #5.89
0.5     0.896           0.917       15.2106    #7.50
#0.6     0.926          0.935       9.34      #original (by hand/envelope)
0.6     0.996708        0.997485    16.5841  
0.7     0.94            0.952       18.7945    #12.14
0.75    0.95            0.96        21.3025      #densities not real
0.8     0.95            0.96       22.4315  #
0.85    0.95            0.96       24.4853  #
0.9     0.95            0.96       25.6598  #
0.95    0.95            0.96       26.5412  #
1       0.951831        0.951964    28.5003 
1.05    0.96            0.97       30.5523  #
1.1     0.96            0.97       31.6116  #
1.15    0.96            0.97       34.8007  #
1.25    0.96            0.97       35.1473  #
1.3     0.96            0.97       38.4221  #
                    
