# version: 0.0.0-176-g06e7d48-dirty
# well_width: 1.3
# ff: 0.3
# N: 24
# walls: 0
# cell dimensions: (6.94586, 6.94586, 6.94586)
# seed: 8
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.009719
# min_important_energy after initialization: 116

# histogram method: simple flat
# init_iter_limit: 57600000
# iterations: 57600000
# working moves: 666416221
# total moves: 1382400000
# acceptance rate: 0.482072

# energy	samples
57  0
58  3132911
59  1711257
60  1128378
61  801565
62  590342
63  445034
64  342427
65  268314
66  212921
67  171407
68  139617
69  115009
70  95206
71  79725
72  67257
73  57210
74  48880
75  42130
76  36389
77  31641
78  27733
79  24216
80  21338
81  18862
82  16718
83  14849
84  13271
85  11818
86  10613
87  9544
88  8622
89  7764
90  7055
91  6430
92  5845
93  5314
94  4835
95  4411
96  4026
97  3686
98  3389
99  3117
100  2833
101  2589
102  2322
103  2064
104  1834
105  1617
106  1425
107  1237
108  1055
109  898
110  775
111  669
112  578
113  511
114  431
115  347
116  266
117  177
118  83
119  29
120  4
121  2
