# version: 0.0.0-115-g9829181-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.00332146
# min_important_energy after initialization: 90

# histogram method: oetmmc
# init_iter_limit: 32400000
# iterations: 32400000
# working moves: 110981726
# total moves: 583200000
# acceptance rate: 0.190298

# energy	samples
43  0
44  283575
45  152514
46  97858
47  67253
48  47797
49  34879
50  26058
51  19907
52  15417
53  12116
54  9739
55  7839
56  6369
57  5206
58  4323
59  3551
60  2975
61  2493
62  2117
63  1796
64  1502
65  1286
66  1104
67  969
68  844
69  733
70  628
71  537
72  468
73  401
74  351
75  307
76  257
77  217
78  182
79  136
80  101
81  70
82  48
83  41
84  31
85  21
86  13
87  8
88  2
89  2
90  2
