# version: 0.0.0-109-ge280603-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.00644356
# min_important_energy after initialization: 76

# histogram method: oetmmc
# init_iter_limit: 25600000
# iterations: 25600000
# working moves: 180179265
# total moves: 409600000
# acceptance rate: 0.439891

# energy	samples
38  0
39  1486119
40  807106
41  509863
42  345013
43  242389
44  175270
45  129418
46  97841
47  75164
48  58770
49  46450
50  37096
51  29903
52  24407
53  20069
54  16587
55  13778
56  11478
57  9651
58  8134
59  6817
60  5820
61  4952
62  4255
63  3648
64  3162
65  2707
66  2320
67  1947
68  1617
69  1322
70  1063
71  826
72  604
73  407
74  226
75  110
76  71
77  51
78  31
79  12
80  9
