# version: 0.0.0-109-ge280603-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.00332146
# min_important_energy after initialization: 90

# histogram method: tmmc
# init_iter_limit: 32400000
# iterations: 32400000
# working moves: 250640530
# total moves: 583200000
# acceptance rate: 0.429768

# energy	samples
43  0
44  1591462
45  862968
46  558747
47  385385
48  275597
49  202654
50  152449
51  116581
52  90776
53  71513
54  57139
55  46191
56  37713
57  31036
58  25824
59  21638
60  18199
61  15377
62  13045
63  11195
64  9678
65  8373
66  7252
67  6273
68  5499
69  4817
70  4172
71  3669
72  3230
73  2787
74  2413
75  2065
76  1747
77  1475
78  1212
79  963
80  729
81  530
82  371
83  261
84  190
85  144
86  113
87  67
88  6
89  6
90  6
