# version: 0.0.0-115-g9829181-dirty
# well_width: 1.3
# ff: 0.3
# N: 20
# walls: 0
# cell dimensions: (6.53631, 6.53631, 6.53631)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 120
# min_T: 0.2
# fractional_sample_error after initialization: 0.0133923
# min_important_energy after initialization: 95

# histogram method: simple flat
# init_iter_limit: 40000000
# iterations: 40000000
# working moves: 389115450
# total moves: 800000000
# acceptance rate: 0.486394

# energy	samples
48  2111098
49  2102604
50  1999925
51  1889406
52  1785436
53  1679998
54  1583217
55  1495835
56  1410353
57  1330510
58  1252753
59  1182164
60  1115695
61  1052397
62  998259
63  947203
64  893219
65  843330
66  802490
67  763305
68  723519
69  686846
70  650097
71  613576
72  577382
73  542641
74  507528
75  471280
76  438154
77  404401
78  374188
79  346705
80  321938
81  302711
82  284937
83  269444
84  259082
85  248390
86  243328
87  241842
88  248302
89  254512
90  261298
91  255850
92  238951
93  203281
94  149625
95  78138
96  918
97  3
