# version: 0.0.0-275-g22b78b0-dirty
# well_width: 1.3
# ff: 0.3
# N: 23
# walls: 0
# cell dimensions: (6.84802, 6.84802, 6.84802)
# seed: 18
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 132
# min_T: 0.2
# fractional_sample_error after initialization: 0.00653725
# min_important_energy after initialization: 114

# histogram method: oetmmc
# init_iter_limit: 52900000
# iterations: 52900000
# working moves: 580522250
# total moves: 1216700000
# acceptance rate: 0.477129

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0
46  0
47  0
48  0
49  0
50  0
51  0
52  0
53  0
54  0
55  0
56  0.0411781
57  0.169843
58  0.382064
59  0.678581
60  1.05565
61  1.51223
62  2.04599
63  2.65482
64  3.33803
65  4.09169
66  4.91812
67  5.80823
68  6.76438
69  7.78573
70  8.86479
71  9.99841
72  11.2006
73  12.4517
74  13.7575
75  15.1071
76  16.5135
77  17.9599
78  19.4535
79  21.0087
80  22.6106
81  24.2042
82  25.5388
83  27.5744
84  29.3089
85  31.1145
86  32.9383
87  34.6837
88  36.6806
89  38.5261
90  40.5453
91  42.5245
92  44.6421
93  46.701
94  48.7868
95  50.9731
96  53.1824
97  55.3864
98  57.6024
99  59.5895
100  62.0885
101  64.2178
102  66.537
103  68.8676
104  71.6173
105  73.8204
106  76.3507
107  79.2967
108  83.5317
109  86.842
110  89.1669
111  92.1076
112  95.8626
113  100.883
114  104.712
115  109.712
116  114.712
117  119.712
118  124.712
119  129.712
120  134.712
121  139.712
122  144.712
123  149.712
124  154.712
125  159.712
126  164.712
127  169.712
128  174.712
129  179.712
130  184.712
131  189.712
