# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 29
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.0134244
# min_important_energy after initialization: 77

# histogram method: tmmc
# init_iter_limit: 25600000
# iterations: 25600000
# working moves: 214606962
# total moves: 409600000
# acceptance rate: 0.523943

# min_important_energy: 77

# energy   counts
24  7
25  10
26  184
27  999
28  5328
29  24037
30  89926
31  279844
32  753939
33  1715475
34  3371139
35  5714007
36  8423353
37  10819868
38  12238793
39  12265239
40  12244463
41  12258350
42  12293745
43  12315861
44  12301430
45  12327560
46  12357568
47  12384636
48  12385819
49  12379540
50  12348611
51  12348286
52  12315689
53  12266359
54  12245311
55  12293028
56  12263021
57  12267639
58  12343144
59  12287387
60  12270993
61  12104939
62  12022818
63  11656112
64  11166985
65  10763519
66  8984345
67  8946722
68  7931335
69  4876900
70  4728017
71  1948565
72  57538
73  95115
74  81488
75  28754
76  6216
77  44
