# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 24
# walls: 0
# cell dimensions: (6.94586, 6.94586, 6.94586)
# seed: 13
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.00460536
# min_important_energy after initialization: 116

# histogram method: tmmc
# init_iter_limit: 57600000
# iterations: 57600000
# working moves: 711190815
# total moves: 1382400000
# acceptance rate: 0.514461

# energy	samples
58  0
59  3685406
60  1993338
61  1308644
62  925892
63  679182
64  510774
65  392214
66  306699
67  242862
68  195155
69  158902
70  130036
71  107973
72  90392
73  76127
74  64412
75  54938
76  47229
77  40576
78  35265
79  30777
80  26942
81  23646
82  20812
83  18425
84  16314
85  14534
86  12977
87  11671
88  10517
89  9497
90  8583
91  7781
92  7049
93  6443
94  5859
95  5375
96  4926
97  4507
98  4119
99  3749
100  3386
101  3047
102  2729
103  2424
104  2106
105  1838
106  1576
107  1334
108  1122
109  929
110  772
111  656
112  561
113  445
114  318
115  249
116  149
117  45
118  10
